OID_,Value,Count,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW,R,G,B,RED,GREEN,BLUE
3,11,1046530.000000000000000,11,na,na,Open Water,Open Water,NA,NA,NA,NA,NA,NA,NA,NA,0,0,255,0.000000000000000,0.000000000000000,1.000000000000000
5,31,503.000000000000000,31,na,na,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,NA,NA,NA,NA,NA,NA,NA,NA,191,191,191,0.749020000000000,0.749020000000000,0.749020000000000
1482,1920,145157.000000000000000,13020,65,13020_65_66,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,983,NA,NA,983,100,NA,NA,V-B,76,230,0,0.298039000000000,0.901961000000000,0.000000000000000
1484,1922,2.000000000000000,13240,65,13240_60_65_66,Northern Atlantic Coastal Plain Hardwood Forest,Hardwood,48,44,4,4,8,8,84,I-A,161,112,90,0.631373000000000,0.439216000000000,0.352941000000000
1486,1924,32707.000000000000000,13620,65,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,309,447,65,48,16,11,73,III-A,255,191,191,1.000000000000000,0.749020000000000,0.749020000000000
1487,1925,90301.000000000000000,13660,65,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,482,998,289,153,32,15,53,III-B,208,255,99,0.815686000000000,1.000000000000000,0.388235000000000
1488,1926,63331.000000000000000,13690,65,13690_60_61_63_64_65_66,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,182,463,15,14,8,3,89,I-B,0,255,220,0.000000000000000,1.000000000000000,0.862745000000000
1489,1927,12606.000000000000000,13700,65,13700_60_63_64_65_66,Appalachian (Hemlock-)Northern Hardwood Forest,Hardwood,1010,1122,NA,531,53,47,NA,V-B,214,255,145,0.839216000000000,1.000000000000000,0.568627000000000
1490,1928,9.000000000000000,13730,65,13730_65_66,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Hardwood-Conifer,1127,NA,NA,1127,100,NA,NA,V-B,130,160,100,0.509804000000000,0.627451000000000,0.392157000000000
1491,1929,2606.000000000000000,13740,65,13740_64_65_66,Acadian-Appalachian Montane Spruce-Fir Forest,Hardwood-Conifer,580,NA,NA,580,100,NA,NA,V-B,144,107,181,0.564706000000000,0.419608000000000,0.709804000000000
1492,1930,1217.000000000000000,13770,65,13770_60_61_63_64_65_66,Central Appalachian Pine-Oak Rocky Woodland,Hardwood-Conifer,412,384,4645,190,46,50,4,III-B,255,0,77,1.000000000000000,0.000000000000000,0.301961000000000
1494,1932,395.000000000000000,14360,65,14360_65_66,Northern Atlantic Coastal Plain Dune and Swale,Grassland,10,17,NA,6,62,38,NA,I-B,100,31,87,0.392157000000000,0.121569000000000,0.341176000000000
1495,1933,715.000000000000000,14710,65,14710_64_65,Central Interior and Appalachian Floodplain Systems,Riparian,603,392,120,80,14,20,66,III-A,0,191,176,0.000000000000000,0.749020000000000,0.690196000000000
1496,1934,4084.000000000000000,14720,65,14720_64_65_66,Central Interior and Appalachian Riparian Systems,Riparian,984,NA,198,165,17,NA,83,III-B,36,255,20,0.141176000000000,1.000000000000000,0.078431000000000
1497,1935,1578.000000000000000,14750,65,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,NA,435,68,59,NA,14,86,III-A,122,143,245,0.478431000000000,0.560784000000000,0.960784000000000
1498,1936,503.000000000000000,14770,65,14770_63_64_65_66,Boreal Acidic Peatland Systems,Riparian,935,NA,170,144,15,NA,85,III-B,106,0,138,0.415686000000000,0.000000000000000,0.541176000000000
1499,1937,2466.000000000000000,14790,65,14790_60_61_63_64_65_66,Central Interior and Appalachian Swamp Systems,Riparian,1011,NA,1353,578,57,NA,43,V-B,207,61,255,0.811765000000000,0.239216000000000,1.000000000000000
1501,1939,1.000000000000000,14900,65,14900_65_66,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Riparian,508,NA,NA,508,100,NA,NA,V-B,255,235,0,1.000000000000000,0.921569000000000,0.000000000000000
1502,1940,2303.000000000000000,14940,65,14940_63_65_66,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,792,NA,NA,792,100,NA,NA,V-B,0,168,107,0.000000000000000,0.658824000000000,0.419608000000000
1503,1941,126.000000000000000,15180,65,15180_43_47_49_52_62_63_64_65,North-Central Interior Wet Flatwoods,Hardwood,993,NA,NA,993,100,NA,NA,V-B,211,237,38,0.827451000000000,0.929412000000000,0.149020000000000
1504,1942,21126.000000000000000,15260,65,15260_64_65_66,Laurentian-Acadian Swamp Systems,Riparian,1011,NA,NA,1011,100,NA,NA,V-B,232,160,255,0.909804000000000,0.627451000000000,1.000000000000000
1505,1943,11131663.000000000000000,13020,64,13020_64,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,2108,NA,NA,2108,100,NA,NA,V-B,76,230,0,0.298039000000000,0.901961000000000,0.000000000000000
1506,1944,19.000000000000000,13030,64,13030_61_63_64_65_66,Northeastern Interior Dry-Mesic Oak Forest,Hardwood,39,24,9,6,14,23,63,I-B,215,185,100,0.843137000000000,0.725490000000000,0.392157000000000
1507,1945,52739.000000000000000,13540,64,13540_64_66,Northeastern Interior Pine Barrens,Conifer,77,31,12,8,10,24,66,I-B,255,196,82,1.000000000000000,0.768627000000000,0.321569000000000
1508,1946,1351622.000000000000000,13620,64,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,309,447,65,48,16,11,73,III-A,255,191,191,1.000000000000000,0.749020000000000,0.749020000000000
1509,1947,5126490.000000000000000,13660,64,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,482,998,289,153,32,15,53,III-B,208,255,99,0.815686000000000,1.000000000000000,0.388235000000000
1510,1948,131223.000000000000000,13690,64,13690_60_61_63_64_65_66,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,182,463,15,14,8,3,89,I-B,0,255,220,0.000000000000000,1.000000000000000,0.862745000000000
1511,1949,235721.000000000000000,13700,64,13700_60_63_64_65_66,Appalachian (Hemlock-)Northern Hardwood Forest,Hardwood,1010,1122,NA,531,53,47,NA,V-B,214,255,145,0.839216000000000,1.000000000000000,0.568627000000000
1512,1950,634881.000000000000000,13730,64,13730_63_64,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Hardwood-Conifer,1053,NA,NA,1053,100,NA,NA,V-B,130,160,100,0.509804000000000,0.627451000000000,0.392157000000000
1513,1951,5543835.000000000000000,13740,64,13740_64_65_66,Acadian-Appalachian Montane Spruce-Fir Forest,Hardwood-Conifer,580,NA,NA,580,100,NA,NA,V-B,144,107,181,0.564706000000000,0.419608000000000,0.709804000000000
1514,1952,34078.000000000000000,13770,64,13770_60_61_63_64_65_66,Central Appalachian Pine-Oak Rocky Woodland,Hardwood-Conifer,412,384,4645,190,46,50,4,III-B,255,0,77,1.000000000000000,0.000000000000000,0.301961000000000
1515,1953,218222.000000000000000,13890,64,13890_64_66,Acadian-Appalachian Subalpine Woodland and Heath-Krummholz,Shrubland,3351,1795,4331,916,27,51,22,V-B,150,255,231,0.588235000000000,1.000000000000000,0.905882000000000
1518,1956,11113.000000000000000,14710,64,14710_64_65,Central Interior and Appalachian Floodplain Systems,Riparian,603,392,120,80,14,20,66,III-A,0,191,176,0.000000000000000,0.749020000000000,0.690196000000000
1519,1957,1766774.000000000000000,14720,64,14720_64_65_66,Central Interior and Appalachian Riparian Systems,Riparian,984,NA,198,165,17,NA,83,III-B,36,255,20,0.141176000000000,1.000000000000000,0.078431000000000
1520,1958,1822269.000000000000000,14750,64,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,NA,435,68,59,NA,14,86,III-A,122,143,245,0.478431000000000,0.560784000000000,0.960784000000000
1521,1959,233178.000000000000000,14770,64,14770_63_64_65_66,Boreal Acidic Peatland Systems,Riparian,935,NA,170,144,15,NA,85,III-B,106,0,138,0.415686000000000,0.000000000000000,0.541176000000000
1522,1960,5215.000000000000000,14790,64,14790_60_61_63_64_65_66,Central Interior and Appalachian Swamp Systems,Riparian,1011,NA,1353,578,57,NA,43,V-B,207,61,255,0.811765000000000,0.239216000000000,1.000000000000000
1524,1962,2859.000000000000000,14940,64,14940_64,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,794,NA,NA,794,100,NA,NA,V-B,0,168,107,0.000000000000000,0.658824000000000,0.419608000000000
1525,1963,246232.000000000000000,15180,64,15180_43_47_49_52_62_63_64_65,North-Central Interior Wet Flatwoods,Hardwood,993,NA,NA,993,100,NA,NA,V-B,211,237,38,0.827451000000000,0.929412000000000,0.149020000000000
1526,1964,103745.000000000000000,15260,64,15260_64_65_66,Laurentian-Acadian Swamp Systems,Riparian,1011,NA,NA,1011,100,NA,NA,V-B,232,160,255,0.909804000000000,0.627451000000000,1.000000000000000
